Time (s),X (g),Y (g),Z (g)
0.000000000,-0.002363693,1.749294E-05,0.009958516
0.004933357,0.000696037,-0.003893916,0.01518542
0.009865761,-0.004333083,-0.0004030681,0.01371222
0.014799118,-0.001660169,-0.003424571,0.011839
0.019731522,-0.001963965,-0.0008092949,0.01516537
0.024664402,0.0015141,-0.000151452,0.01285593
0.029597759,-0.003412481,6.938611E-05,0.007102489
0.034530163,-0.003262928,-0.002508275,0.01608147
0.039463520,-0.001286747,-0.003155057,0.0156336
0.044395924,-0.001066904,-0.001423137,0.0118616
0.049329281,-0.003020419,0.0002991013,0.00853013
0.054262161,0.0002569882,-0.002955588,0.01092522
0.059194565,-0.0003143912,0.002256871,0.015684
0.064127922,-0.001291004,8.721099E-05,0.009028428
0.069060802,-0.0008255914,-0.0007765531,0.008083026
0.073993683,0.002875368,-0.002719364,0.009073086
0.078926563,-0.000896605,0.001404763,0.01093621
0.083859921,-0.001488694,-0.003788361,0.01183971
0.088792324,0.0006142168,-0.0005194627,0.01378651
0.093725204,-0.007638168,-0.0002884181,0.01271637
0.098658562,-0.003061681,-0.0007097938,0.01278272
0.103590965,-0.00347497,-0.0009094076,0.01135528
0.108524323,0.0002179588,-0.006115741,0.01895043
0.113456726,-0.0005931492,0.001059693,0.003364348
0.118390083,-0.003213689,-0.004570536,0.01275535
0.123322964,-0.001081042,-0.0002325484,0.009975529
0.128255367,-0.002435082,0.001283735,0.01233109
0.133188725,0.001638913,-0.005450984,0.005722921
0.140587807,-0.002110762,-0.005652234,0.01087183
0.145520687,-0.004385435,-0.002375934,0.01559146
0.150454044,-0.001838507,0.003285003,0.01377297
0.155386448,0.001339146,-0.00171833,0.007162696
0.160319805,-0.002678629,0.001757815,0.01233082
0.165252209,-0.001915423,-0.00605277,0.01371234
0.170185566,-0.00265748,0.001748403,0.01138403
0.175118446,-0.003219615,-0.004544423,0.01228186
0.180050850,-0.001850257,0.003263126,0.01424633
0.184984207,-0.006082534,5.888338E-06,0.008007891
0.189917088,-0.004868919,0.001725405,0.01419105
0.194849968,0.002139636,-0.001326046,0.01238442
0.199782848,-0.00335825,0.0019342,0.01374212
0.204716206,1.754488E-05,-0.003480959,0.01044464
0.209648609,-0.006545392,-0.001313148,0.01225271
0.214581490,0.0001275938,0.0004215309,0.01473181
0.219514370,-0.001898376,-0.001759735,0.004273902
0.224447250,-0.004924128,0.004971902,0.01373763
0.229380608,0.001677084,0.0006176193,0.01097042
0.234313011,0.001509049,-0.001123108,0.008589748
0.239246368,-0.002258968,0.002992447,0.009032875
0.244179249,-0.004179637,0.0003825325,0.01040671
0.249111652,-0.005072035,0.002115435,0.01040408
0.254045010,-0.00590268,-0.004810405,0.01697343
0.258977413,-0.003756375,0.002784146,0.009008223
0.263910770,-3.495281E-05,-0.0002671741,0.01141176
0.268843651,-0.00525011,0.0003781956,0.01038986
0.273777008,-0.001154981,0.0008150332,0.0128214
0.278709412,-0.001331831,-0.00200184,0.01327395
0.283641815,-0.004989348,-0.002220036,0.0113234
0.288575172,-0.004985979,-0.00220947,0.01132365
0.293508053,-0.0002498406,-0.0009068488,0.01424387
0.298441410,0.00020489,-0.001772362,0.01329853
0.303373814,-0.004225236,-0.005677714,0.006106122
0.308307171,0.0002265857,0.001482841,0.005746301
0.313239575,-0.00117408,0.003004826,0.01141552
0.320639134,-0.003582555,0.001246112,0.01468105
0.325572491,-0.001340856,0.002320129,0.007149035
0.330504894,-0.006555856,0.0007924511,0.009426687
0.335437775,-0.0001122896,0.0007910698,0.01709738
0.340370655,-0.003499622,0.001217952,0.009002033
0.345303536,-0.003698152,0.001647645,0.006162299
0.350236893,-0.001452715,0.002276467,0.01992723
0.355169296,-0.002103309,-0.0003408248,0.004752888
0.360102654,-0.006955858,0.001615661,0.008479393
0.365035057,0.001612908,0.001615943,0.01902243
0.369967938,-0.004292117,-0.002509082,0.009439251
0.374901295,-0.0009992003,0.002925436,-0.001362687
0.379833698,-0.001823033,-9.784946E-05,0.01990525
0.384767056,-0.0006542739,-0.002280898,0.01517529
0.389699936,-0.0009944102,0.0007435131,0.001463613
0.394632816,-0.001521673,-0.003808172,0.01609957
0.399565697,-0.0009487717,0.002481927,0.01378247
0.404498100,0.001304781,0.0002967449,0.008595951
0.409431458,-0.002027893,0.001377066,0.01375943
0.414364338,-0.002691818,-0.002741266,0.02034924
0.419297695,0.001257108,0.002466431,0.009556311
0.424230099,-0.002015139,0.0002888972,0.01327927
0.429163456,0.00368045,0.0009464949,0.007689433
0.434095860,-0.0006324131,-0.001227819,0.007610435
0.439028740,-0.0005267435,-0.0005617183,0.01708295
0.443962097,-0.001516893,-0.001647106,0.009960377
0.448894501,-0.0011309,0.001824124,0.009042302
0.453827858,-0.001096544,0.001807409,0.006202706
0.458760262,-0.001991329,-0.00187616,0.01468498
0.463693619,-0.004182586,0.002443176,0.00994755
0.468626499,0.001335299,-0.006219814,0.01565346
0.473558903,-0.00217632,-0.001453048,0.01089835
0.478492260,-0.00306418,0.0002747384,0.01042306
0.483425140,-0.001419109,0.005455677,0.01095561
0.488358021,-0.0002661168,-0.001065132,0.01424354
0.493290901,-0.002606669,-0.001710599,0.009470577
0.500689983,-0.003894066,-0.004513469,0.01179919
0.505623341,-0.003796381,0.003743132,0.01090821
0.510556221,-0.002177632,-0.002549912,0.01278447
0.515489102,0.001027368,0.001798468,0.0109684
0.520421982,-0.0001148313,0.005045773,0.01144588
0.525354385,0.0004799488,-0.00342199,0.009032684
0.530287743,-0.003523681,5.644366E-05,0.01136182
0.535220623,0.001074306,0.0007118562,0.007175551
0.540153504,-0.003511189,6.551249E-05,0.009468072
0.545086384,-0.004010433,0.000932908,0.01419992
0.550019741,-0.004586101,-0.003187108,0.01511061
0.554952145,-0.0005079918,0.003756626,0.008591459
0.559885025,-0.001425461,0.003319256,0.01472841
0.564818382,0.004060451,-0.00102685,0.01525647
0.569750786,-0.007902747,4.392055E-05,0.01460859
0.574684143,0.001871717,0.003294462,0.01099147
0.579616547,-0.005034062,0.001967646,0.008037816
0.584549904,-0.0004059374,-0.001702465,0.00666384
0.589482784,-0.002637289,0.001555679,0.006651743
0.594415188,0.0001737044,-0.004080312,0.0161241
0.599348545,-0.002798549,-0.002331721,0.006150291
0.604280949,-0.0006809816,-0.0001619168,0.008090188
0.609214306,-0.005915469,0.001563292,0.007075465
0.614147186,0.001213739,0.001340784,0.01096913
0.619080544,-0.001426611,0.001117887,0.0132946
0.624012947,-0.001881198,0.0008876896,0.01565265
0.628945828,-0.002819326,-0.005606792,0.01086217
0.633878708,-0.001619606,-0.001695129,0.01421963
0.638811588,-0.0006441365,-0.001274067,0.004770546
0.643744946,0.0005271549,0.002641257,0.01049422
0.648677349,0.0002945382,-0.0001964946,0.016152
0.653610706,-0.002627216,-0.002799826,0.01041002
0.658543110,-0.003580803,0.002197652,0.01090232
0.663475990,-0.002233728,-0.004729582,0.0165567
0.668409348,-0.002420502,-0.004268154,0.01466335
0.673341751,-0.008198713,0.004832265,0.01558198
0.678275108,0.0008592784,0.001123295,0.008594935
0.683207989,-0.001318847,0.001142443,0.00950851
0.690607071,-0.002415241,4.950064E-05,0.01090509
0.695540428,-0.0008856776,0.0002529641,0.009509085
0.700472832,-0.001534894,0.0004685762,0.009027497
0.705406189,0.0006863064,-0.0006283327,0.004794232
0.710339070,-0.00505218,-0.001280227,0.01416968
0.715271473,-0.0001603795,-0.004324614,0.008543897
0.720204830,-0.0007503629,0.001964968,0.01236339
0.725137234,-3.210737E-05,-0.002587756,0.0123443
0.730070591,-0.004086066,0.001974992,0.01941278
0.735003472,0.0006291991,-0.002812066,0.01187933
0.739936829,-0.001804442,-0.001298372,0.01374586
0.744869232,-0.002677938,-0.0006525909,0.01279028
0.749801636,2.114731E-05,-0.001522903,0.005252167
0.754734993,-0.0024006,0.001071801,0.003813065
0.759667874,-0.00113603,-0.001532288,0.01044134
0.764601231,-0.00068146,-0.001317465,0.008083111
0.769533634,-0.003653551,0.003228911,0.01564159
0.774466992,-0.0002678213,-0.001120649,0.009510683
0.779399395,-0.001548357,-0.006089056,0.01419223
0.784332276,-0.003258516,0.005621034,0.01424396
0.789265633,-0.001368077,-0.003253027,0.01232048
0.794198036,-0.001295711,-0.003224594,0.006641028
0.799131394,-0.001921462,-0.006243783,0.008031967
0.804064274,-0.002250273,-0.0003859899,0.01043219
0.808997154,-0.0009287743,-0.0008159544,0.009975982
0.813930035,-0.002420369,5.065013E-05,0.005225705
0.818862438,-0.0005280789,-0.002748346,0.0161223
0.823795796,-0.00348717,7.967609E-05,0.004262966
0.828728676,0.001941089,-0.00316787,0.009530981
0.833661556,-0.004317719,-0.000767721,0.02175775
0.838594437,-0.0007014307,-0.002303015,0.01091581
0.843527794,-0.0009045678,-0.0007799774,0.007136116
0.848460198,-0.0003736604,-0.0009938597,0.01802951
0.853393078,-0.001476942,-0.002070662,0.020846
0.858326435,0.003024239,0.001173571,0.002002239
0.863258839,-0.0005511447,-0.003802014,0.01753573
0.868192196,-0.002573211,-0.0009679903,0.02036358
0.875591278,-0.000587584,-0.002252131,-0.0004423799
0.880524159,-0.004486,0.0007909579,0.0141922
0.885457516,-0.0009578234,-0.002891831,0.01516821
0.890389919,-0.002132831,-0.003537418,0.004259225
0.895323277,-0.001506316,-0.002641696,0.006167691
0.900255680,-0.003391168,0.003004647,0.01185554
0.905188561,-0.005091833,0.00104096,0.01229008
0.910121918,0.0009490858,0.00191607,0.01475418
0.915054322,-0.002199267,-0.00459562,0.01371787
0.919987679,-0.001775296,-0.001124351,0.009959882
0.924920082,0.0002611123,0.003224681,0.01617252
0.929853440,-0.001470576,0.001265691,0.01802697
0.934786320,-0.004022637,0.001034186,0.01278011
0.939718724,-0.0002032443,0.001905368,0.01994401
0.944652081,-0.002329483,0.0008083297,0.01611778
0.949584961,0.001107601,0.003611278,0.01524196
0.954517841,-0.001516461,0.003376352,0.01614752
0.959450722,-0.00116387,0.00184349,0.005729502
0.964384079,-0.005422515,-0.005756585,0.009402043
0.969316483,-0.002001142,0.004637197,5.518794E-05
0.974249363,-0.002423591,-0.004254346,0.01087767
0.979182720,0.0003235402,-0.001209007,0.01283232
0.984115124,-0.006848692,9.582654E-05,0.01083827
0.989048481,-0.002672775,-0.0005392723,0.009004323
0.993980885,-0.0046177,-0.0009659491,0.009445278
0.998914242,-0.002211473,-0.003559948,0.01277779
1.003847122,0.0009347876,-0.0002934369,0.01758054
1.008779526,-0.003585262,0.0001422532,0.0123078
1.013712883,-0.0007322202,-0.001143251,0.01281579
1.018645287,-0.004277622,-0.0007148666,0.01797175
1.023578644,-0.00202279,-0.0007108589,0.009959288
1.028511524,0.0007101698,0.002319026,0.01286053
1.033444881,-0.0001256632,-0.001367955,0.01424467
1.038377285,-0.002909478,-0.002249907,0.01088336
1.043309689,0.003148943,-0.0002912811,0.008148715
1.048243046,-0.001809206,-0.003308457,0.008526265
1.053175926,-0.0009830151,0.0003890336,0.007143028
1.060575008,0.001145064,0.002576464,0.00718945
1.065508366,-0.002700477,-0.002634627,0.007570822
1.070440769,-0.001574009,-0.002634811,0.00380145
1.075374126,-0.0001106967,-0.0002436591,0.004786049
1.080307007,-0.0002090328,-0.0002372013,0.01330492
1.085240364,-0.0005857283,-0.002631164,0.01044388
1.090172768,-0.003041188,0.002129433,0.00949026
1.095105648,-0.0006017383,-0.002642347,0.01186377
1.100038528,-0.002419531,0.0008285975,0.01422452
1.104971409,-0.003491754,0.001899047,0.01184863
1.109904766,-0.0006369156,0.0005779067,0.01141042
1.114837170,0.0007002797,0.0001459538,0.008588077
1.119770527,-0.002966461,-0.001172228,0.008523493
1.124703407,-0.0009244774,0.0009947147,0.0175623
1.129635811,-0.004914991,-0.002705575,0.01227004
1.134569168,-0.0005947962,-0.001598561,0.01281662
1.139501572,-0.003198303,-0.002896317,0.01418872
1.144434929,-0.00212603,0.0003657484,0.01091249
1.149367809,0.0009130832,-0.0002768979,0.01095492
1.154300690,-0.0001592758,-0.003518741,0.01423072
1.159233570,-0.005912258,0.003411968,0.01371457
1.164165974,-0.001239015,-0.002438979,0.01374767
1.169099331,2.996104E-05,-0.001783426,0.01613793
1.174032211,-0.004723215,-0.002014442,0.01369727
1.178965569,-0.003489386,0.001888682,0.01326889
1.183897972,-0.001449814,-0.002000798,0.01185405
1.188831329,-0.001038183,-0.002854844,0.01422169
1.193763733,-3.170386E-05,0.001486673,0.01379226
1.198696613,-0.005040524,0.0005904568,0.01512963
1.203629971,-0.0006741631,0.0016789,0.01094388
1.208562374,-0.005548916,-0.002459858,0.007528789
1.213495731,-0.002738339,-0.0004899229,0.004744439
1.218428135,-0.002178231,0.0003858382,0.01185872
1.223361492,-0.004105848,-4.812917E-05,0.01182605
1.228294373,-0.002450476,-0.002008094,0.003319019
1.233226776,-0.003722524,0.00125574,0.01468044
1.240626812,-0.001935874,0.001037409,0.01233952
1.245559216,-0.00363583,0.0001437325,0.009468026
1.250492096,4.526931E-05,-0.002863197,0.01565784
1.255425453,0.0004479014,0.001694597,0.01238012
1.260357857,-0.004420368,-0.007847192,0.01650394
1.265291214,-0.004269802,0.00148088,0.008046757
1.270224094,-0.0002913527,-0.00197032,0.008558169
1.275156975,-0.002956945,-0.001113294,0.01183643
1.280089855,-0.004161571,-0.002854186,0.006126615
1.285022259,0.0007420274,-0.0008839101,0.01189425
1.289955616,-0.0009510746,-0.0006731675,0.007136147
1.294888496,-0.00222195,-0.004571225,0.01229797
1.299821854,-0.000138512,0.001950388,0.01000539
1.304754257,-0.002621766,0.00129074,0.0189568
1.309687615,-0.001796113,-0.001104138,0.006646771
1.314620018,-0.002354864,0.0008490931,0.01469798
1.319552898,0.0007717464,0.001943703,0.02563936
1.324486256,0.001635479,0.0006144186,0.006237851
1.329418659,0.001662881,-0.0004884634,0.004338104
1.334352017,-0.00328236,-0.0007155092,0.0198812
1.339284420,-0.003152396,-0.003958019,0.01370864
1.344217777,-0.002407523,-0.003090691,0.004258631
1.349150658,-0.003081901,-0.0007045858,0.002843815
1.354083061,0.001639685,-0.002641861,0.01094997
1.359016419,-0.002529927,0.004512954,0.003359642
1.363948822,-0.004266079,0.0003856867,0.01087922
1.368882179,-0.002972873,0.002110113,0.009963362
1.373815060,-0.00163052,-0.002654785,0.01421347
1.378748417,0.0022694,0.0004022045,0.01050526
1.383680821,-0.002614009,0.001254776,0.0184838
1.388613701,0.003925778,0.003434674,0.01149756
1.393546581,-1.529278E-05,0.0003777563,0.01804476
1.398479462,-0.004492118,-0.0002842542,0.0113457
1.403412819,-0.003618911,-0.0009337583,0.01324745
1.408345223,-0.0007483672,-0.001144257,0.009976228
1.413278580,-0.004201978,-0.003979655,0.01321914
1.420677662,-0.003981628,-0.002233476,0.009446481
1.425610542,-0.003611872,0.0001575335,0.01136155
1.430543900,-0.00235915,0.0008074063,0.01564443
1.435476303,-0.0004876538,-0.001582197,0.007137888
1.440409184,-0.007969059,0.003373322,0.0070565
1.445342541,-0.002022899,-0.002903976,0.01136536
1.450274944,0.0029635,-0.002029677,0.01097371
1.455208302,-0.0005258057,-0.001596571,0.009503757
1.460140705,-0.001924147,0.003172428,0.009986856
1.465074062,0.002277631,-0.001809551,0.01143862
1.470006943,-0.002325519,0.001856184,0.009025708
1.474940300,0.001369913,-0.001175829,0.01474236
1.479872704,-0.002070035,-0.0007414011,0.01043231
1.484805107,-0.001656775,0.001639692,0.008561024
1.489738464,-0.00144666,0.001181183,0.01140109
1.494671345,-0.0005477049,0.0005364417,0.009517134
1.499604702,0.0005615012,-0.001620197,0.01141304
1.504537106,-0.0008026017,-9.627493E-05,0.01329608
1.509470463,-0.002981775,-0.0001047995,0.01326293
1.514402866,-0.001681956,-0.0005147724,0.01422701
1.519335747,-0.003566984,-0.005268941,0.01605981
1.524269104,-0.003862924,0.002764435,0.01042754
1.529201508,-0.002713168,-0.0004980895,0.0099509
1.534134865,0.0001243053,-0.000691888,0.01046582
1.539067268,-0.002019138,-0.001762942,0.009952601
1.544000626,5.201388E-05,0.0004166693,0.01615163
1.548933506,0.002682901,-0.0004326636,0.0147661
1.553865910,-0.001413663,-0.001965312,0.0142208
1.558799267,-0.003196418,0.0004085298,0.0151553
1.563732147,-0.003413865,0.0008446685,0.01373479
1.568665028,-0.0006880793,-0.003280783,0.0104364
1.573597908,-0.005135462,0.001023511,0.01276341
1.578531265,-0.001727473,-0.002220575,0.004747363
1.583463669,-0.001356383,-0.003080493,0.01232109
1.588396549,-0.0009547733,-0.001768545,0.01375548
1.593329907,-0.001114201,-0.003493904,0.00948196
1.598262310,-0.002025484,0.0004201184,0.007126588
1.603195667,0.002086098,-0.002384975,0.0123779
1.610594750,-0.0008074539,0.003244992,0.00905659
1.615527630,0.001495917,-0.003242898,0.008576642
1.620460987,-0.002051109,0.0004379393,0.008546627
1.625393391,-0.002733137,-0.00151257,0.01467664
1.630326748,-0.003877942,0.001734259,0.01515353
1.635259152,-0.002499273,0.0002136153,0.01043102
1.640192032,-0.0001776969,0.0008706978,0.01520475
1.645125389,0.00340725,-0.003903951,0.01286133
1.650057793,0.0011925,-0.0006500859,0.01142855
1.654991150,-0.003072843,0.003251091,0.01801544
1.659923554,-0.00112745,-0.001340111,0.006182171
1.664856911,-0.0003361623,0.0001870285,0.01141113
1.669789791,-0.002830559,0.00277504,0.01612324
1.674722195,-0.005547051,-0.001364579,0.01321484
1.679655552,-0.005353986,0.0003746215,0.01370259
1.684587956,0.001400279,0.00105326,0.01191599
1.689521313,-0.004670838,0.002325549,0.009465394
