Time (s),Processor (degC),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.927386761,65.25878,48.678,33.532
1.928767205,65.25878,48.678,33.532
2.927681923,66.83554,48.716,33.534
3.926596165,66.83554,48.706,33.534
4.927977085,66.83554,48.728,33.536
5.926891804,63.68205,48.742,33.536
6.928272724,66.83554,48.756,33.536
7.927187920,66.83554,48.65,33.538
8.928568840,65.25878,48.704,33.538
9.927483559,63.68205,48.7,33.538
10.926397801,63.68205,48.74,33.538
11.927778721,65.25878,48.694,33.538
12.926693917,65.25878,48.746,33.538
13.928074837,63.68205,48.732,33.538
14.926989556,65.25878,48.72,33.538
15.928369999,65.25878,48.702,33.536
16.927283764,65.25878,48.684,33.536
17.928663254,65.25878,48.672,33.532
18.927576542,63.68205,48.656,33.53
19.926488877,63.68205,48.638,33.526
20.927867413,65.25878,48.614,33.524
21.926778317,65.25878,48.606,33.522
22.928155899,63.68205,48.608,33.518
23.927067280,63.68205,48.616,33.516
24.928443432,65.25878,48.564,33.514
25.927353382,65.25878,48.538,33.51
26.926262379,65.25878,48.52,33.508
